iter	MultiClass
0	0.9638510572
1	0.8903616681
2	0.8305930778
3	0.7630388019
4	0.7099793124
5	0.6710716704
6	0.6324557471
7	0.594223341
8	0.573351314
9	0.5355623729
10	0.510978978
11	0.4816035259
12	0.4631301053
13	0.4325749606
14	0.4142516916
15	0.3900267024
16	0.3684618267
17	0.3553518206
18	0.3400253382
19	0.3266600101
20	0.3164717038
21	0.305260598
22	0.2980561208
23	0.2835335114
24	0.2711921133
25	0.2587963513
26	0.2492933253
27	0.2394094842
28	0.2324177643
29	0.2226812072
30	0.217144325
31	0.2101175277
32	0.2076184743
33	0.203834034
34	0.199349071
35	0.1937458938
36	0.1889147801
37	0.1826267935
38	0.1772560235
39	0.1730909013
40	0.1658534488
41	0.1621257255
42	0.1590718024
43	0.1555683507
44	0.1523213807
45	0.148132881
46	0.1450670962
47	0.1404437736
48	0.1357517276
49	0.1321620019
