iter	Passed	Remaining
0	61	3011
1	63	1520
2	65	1022
3	67	777
4	69	624
5	71	522
6	72	447
7	74	390
8	76	346
9	77	310
10	80	284
11	83	263
12	85	242
13	87	225
14	89	209
15	91	194
16	93	181
17	95	169
18	97	158
19	98	148
20	100	138
21	101	129
22	102	120
23	104	112
24	106	106
25	108	99
26	109	93
27	110	87
28	112	81
29	114	76
30	116	71
31	118	66
32	119	61
33	121	57
34	122	52
35	124	48
36	126	44
37	128	40
38	131	36
39	132	33
40	134	29
41	136	25
42	138	22
43	139	19
44	141	15
45	144	12
46	146	9
47	148	6
48	149	3
49	150	0
